#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
1439,49,Универзитет у Нишу,Природно-математички факултет,Државни факултет,1709,ОАС Географија,Географ,Природно-математичке науке,Основне академске,75000,622,180,612-00-02493/2013-04,04/07/2014,54,54,22,59,,,,0,21,64,,,,0,0,0,,,,52,34,0,135,85,0,220,6,3,34,54,43,123,,,,PM,Државни факултет,123
1440,44,Универзитет у Крагујевцу,Музички и примењене уметности,Државни факултет,1707,Музика у медијима,Дипломирани музички уметник,Уметност,Основне академске,130000,1200,240,612-00-1442/2008-04,29/05/2009,9,5,8,6,10,,,4,1,1,8,,,0,0,0,0,,,3,11,0,29,14,0,43,8,4,11,9,9,7,18,,,UM,Државни факултет,18
1444,6,Универзитет у Београду,Фармацеутски факултет,Државни факултет,1792,2015 Фармација енглески,Магистар фармације,Медицинске науке,Интегр. академске,145000,3500,300,612-00-00729/2013-04,07.06.2013.,5,0,,,,,,1,3,2,,,,5,4,,,,,0,0,0,0,6,9,15,10,5,0,6,,,,,,MD,Државни факултет,
1447,44,Универзитет у Крагујевцу,Музички и примењене уметности,Државни факултет,1721,Графички дизајн,Дипломирани дизајнер,Уметност,Основне академске,150000,1500,240,612-00-02688/2013-04,13/05/2016,14,9,13,14,19,,,6,0,0,5,,,0,0,0,0,,,13,21,0,55,11,0,66,8,4,21,15,13,14,24,,,UM,Државни факултет,24
1448,44,Универзитет у Крагујевцу,Музички и примењене уметности,Државни факултет,1725,Зидно сликарство,Дипломирани примењени уметник,Уметност,Основне академске,150000,2000,240,612-00-1442/2008-04,15/05/2009,,7,12,13,8,,,6,0,3,3,,,0,0,0,0,,,13,,,40,12,0,52,8,4,,13,12,16,11,,,UM,Државни факултет,11
1450,44,Универзитет у Крагујевцу,Музички и примењене уметности,Државни факултет,1727,Унутрашња архитектура,Дипломирани примењени уметник,Уметност,Основне академске,150000,1500,240,612-00-02688/2013-04,02/09/2016,13,7,7,12,8,,,5,0,4,3,,,0,0,0,0,,,3,11,3,34,12,0,46,8,4,14,12,7,16,11,,,UM,Државни факултет,11
1457,62,Универзитет у Новом Саду,Факултет техничких наука,Државни факултет,1747,Информациони инжењеринг (OAS),Дипломирани инжењер информационих технологија,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,90000,2000,240,612-00-00148/2015-04,03.04.2015.,60,59,49,,,,,3,5,,,,,0,0,,,,,0,67,0,108,8,0,116,8,4,67,62,54,,,,,IMT,Државни факултет,
1472,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,1770,Француски језик и књижевност са другим романским језиком и културом,Дипломирани филолог - романиста,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,31/10/2014,60,30,16,19,22,,,11,13,16,65,,,,,,,,,0,24,2,87,105,0,192,8,4,26,,,,,,,DH,Државни факултет,
1473,37,Универзитет у Крагујевцу,Факултет инжењерских наука,Државни факултет,1773,Рачунарска техника и софтверско инжењерство,Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,50000,1500,240,612-00-00990/2014-04,08/05/2015,60,59,40,20,25,,,5,14,6,3,,,,,,,,,0,134,1,144,28,0,172,8,4,135,,,,,,,TT,Државни факултет,
1492,52,Универзитет у Нишу,Грађевинско-архитектонски факултет,Државни факултет,1822,ГрађевинарствоOAS2008,Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,70000,1500,240,612-00-694/2008-04,01/09/2009,,75,,,,,,1,,,,,,1,,,,,,32,,,75,1,1,77,8,4,,77,,,,,,TT,Државни факултет,
1495,97,Државни Универзитет у Новом Пазару,Департман хемијско-технолошке науке,Државни факултет,1827,Хемија (ОАС),Дипломирани хемичар,Техничко-технолошке науке,Основне академске,60000,625,240,612-00-02167/2014-04,28/11/2014,50,37,18,16,16,,,22,23,15,14,,,0,0,0,0,,,4,26,0,87,74,0,161,8,4,26,59,41,31,30,,,TT,Државни факултет,30
1496,88,Државни Универзитет у Новом Пазару,Департман за економске науке,Државни факултет,1828,Економија (ОАС),Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,50000,625,240,612-00-00538/2015-06,12/02/2015,100,40,69,74,85,,,94,82,65,64,,,2,0,1,1,,,15,42,0,268,305,4,577,8,4,42,136,151,140,150,,,DH,Државни факултет,150
1498,92,Државни Универзитет у Новом Пазару,Департман за уметност,Државни факултет,1835,Ликовна уметност(OAС),Дипломирани ликовни уметник,Уметност,Основне академске,75000,625,240,612-00-180/2009-04,30/09/2009,5,5,5,5,6,,,0,0,0,0,,,0,0,0,0,,,1,0,9,21,0,0,21,8,4,9,5,5,5,6,,,UM,Државни факултет,6
1500,90,Државни Универзитет у Новом Пазару,Департман за техничке науке,Државни факултет,1846,Грађевинарство (ОАС),Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,60000,625,240,612-00-00304/2015-06,20/03/2015,40,20,28,24,21,,,30,19,13,15,,,2,0,1,0,,,6,53,0,93,77,3,173,8,4,53,52,47,38,36,,,TT,Државни факултет,36
1503,22,Универзитет у Београду,Математички факултет,Државни факултет,1856,Астрономија и астрофизика,Дипломирани астроном,Природно-математичке науке,Основне академске,135000,3500,240,612-00-00092/2015-04,12.06.2015.,25,20,6,2,4,,,20,6,4,8,,,0,0,0,0,,,3,912,3,32,38,0,70,8,4,915,40,12,6,12,,,PM,Државни факултет,12
1505,91,Државни Универзитет у Новом Пазару,Департман за филозофске науке,Државни факултет,1851,Психологија (ОАС),Дипломирани психолог,Друштвено-хуманистичке науке,Основне академске,50000,625,240,612-00-00410/2015-060,08/07/2016,30,0,10,15,25,,,0,15,22,22,,,0,0,0,0,,,6,53,0,50,59,0,109,8,4,53,0,25,37,47,,,DH,Државни факултет,47
1508,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,1858,Основне академске студије екологије,Еколог,Природно-математичке науке,Основне академске,90750,2000,180,0,19/05/2008,60,44,35,31,41,,,11,12,18,96,,,,,,,,,0,20,1,151,137,0,288,6,3,21,,,,,,,PM,Државни факултет,
1509,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,1859,Основне академске студије биологије,Биолог,Природно-математичке науке,Основне академске,90750,2000,180,0,19/05/2008,80,55,42,56,105,,,26,47,33,163,,,1,,3,2,,,0,128,3,258,269,6,533,6,3,131,82,,92,270,,,PM,Државни факултет,92
1519,4,Универзитет у Београду,Економски факултет,Државни факултет,1875,"Економија, пословно управљање и статистика",Економиста,Друштвено-хуманистичке науке,Основне академске,112200,1500,180,612-00-02663/2013-04,13/06/2014,600,0,0,0,,,,167,97,233,,,,0,0,0,,,,24,1144,39,0,497,0,497,6,3,1183,167,97,233,,,,DH,Државни факултет,233
1520,84,Универзитет уметности у Београду,Факултет драмских уметности,Државни факултет,2220,Глума,Дипломирани драмски и аудиовизуелни уметник,Уметност,Основне академске,220000,3726,240,612-00-00750/2015-06,02/12/2016,12,10,10,,,,,2,0,,,,,0,0,,,,,0,399,0,20,2,0,22,8,4,399,12,10,,,,,UM,Државни факултет,
1522,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,2322,Енглески језик и књижевност са другом страном филологијом,Дипломирани филолог,Друштвено-хуманистичке науке,Основне академске,96000,2000,240,114-022-152/2015-03,15/03/2015,50,21,,,,,,25,,,,,,,,,,,,0,9,3,21,25,0,46,8,4,12,,,,,,,DH,Државни факултет,
1523,94,Државни Универзитет у Новом Пазару,Департман за математичке науке,Државни факултет,2323,Maтематика (ИАС),Мастер професор математике,Природно-математичке науке,Интегр. академске,50000,425,300,0,04/07/2018,75,,,,,,,,,,,,,,,,,,,0,41,3,0,0,0,0,10,5,44,,,,,,,PM,Државни факултет,
1526,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,1898,ОАС Социјалне политике и социјалног рада,Дипломирани социјални радник,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00585/2016-06,02/09/2016,50,21,48,21,,,,31,5,1,,,,0,0,0,,,,0,83,0,90,37,0,127,8,4,83,52,53,22,,,,DH,Државни факултет,
1531,45,Универзитет у Крагујевцу,"Факултет за хотелијерство и туризам, Врњачка Бања",Државни факултет,1903,здравствени туризам,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,80000,1300,240,612-00-00638/2015-06,15.01.2016.,50,20,,,,,,,,,,,,,,,,,,0,32,9,20,0,0,20,8,4,41,,,,,,,DH,Државни факултет,
1538,44,Универзитет у Крагујевцу,Музички и примењене уметности,Државни факултет,1911,Извођачке уметности (са модулима),Дипломирани музички уметник,Уметност,Основне академске,130000,1200,240,612-00-2565/2013-04,15/01/2016,19,,,,,,,,,,,,,,,,,,,0,19,3,0,0,0,0,8,4,22,,,,,,,UM,Државни факултет,
1545,58,Универзитет у Нишу,Факултет уметности,Државни факултет,1978,Ударачки инструменти,Дипломирани музички уметник,Уметност,Основне академске,0,0,240,612-00-00582/2014-04,22/04/2016,0,0,1,1,,,,0,0,0,,,,0,0,0,,,,0,0,2,2,0,0,2,8,4,2,0,1,1,,,,UM,Државни факултет,
1551,95,Државни Универзитет у Новом Пазару,Департман за филолошке науке,Државни факултет,1935,Српска књижевност и језик (ИАС),Мастер филолог,Друштвено-хуманистичке науке,Интегр. академске,50000,625,300,612-00-01206/2014-04,06/03/2015,35,20,,,,,,15,,,,,,0,,,,,,5,35,0,20,15,0,35,10,5,35,35,,,,,,DH,Државни факултет,
1552,95,Државни Универзитет у Новом Пазару,Департман за филолошке науке,Државни факултет,1936,Енглески језик и књижевност (ИAС),Мастер филолог - англиста,Друштвено-хуманистичке науке,Интегр. академске,50000,625,300,612-00-00411/2015-06,19/06/2015,30,15,,,,,,15,,,,,,0,,,,,,8,56,0,15,15,0,30,10,5,56,30,,,,,,DH,Државни факултет,
1553,90,Државни Универзитет у Новом Пазару,Департман за техничке науке,Државни факултет,1937,Aрхитектура (ИАС),Мастер инжењер архитектуре,Техничко-технолошке науке,Интегр. академске,60000,625,300,612-00-00328/2015-04,20/03/2015,30,15,,,,,,15,,,,,,0,,,,,,2,59,0,15,15,0,30,10,5,59,30,,,,,,TT,Државни факултет,
1556,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,1942,Српска филологија у контакту са словачком/мађарском филологијом,Дипломирани филолог србиста у одељењима за националне мањине,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,09/05/2014,25,3,1,3,10,,,3,0,2,17,,,,,,,,,0,2,0,17,22,0,39,8,4,2,,,,,,,DH,Државни факултет,
1558,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1949,Ликовне уметности,Дипломирани ликовни уметник,Уметност,Основне академске,125000,1500,240,612-00-01098 /2014-04,11/09/2015,43,,,,,,,,,,,,,,,,,,,37,48,0,0,0,0,0,8,4,48,,,,,,,UM,Државни факултет,
1559,59,Универзитет у Новом Саду,Академија уметности,Државни факултет,1950,Примењене уметности,Дипломирани дизајнер,Уметност,Основне академске,125000,1500,240,612-00-01096/2014-04,12/02/2016,22,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,59,0,0,0,0,0,8,4,59,0,0,0,0,,,UM,Државни факултет,0
1582,71,Универзитет у Новом Саду,Технолошки факултет,Државни факултет,2219,Инжењерство материјала,Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,65000,3000,240,612-00-01141/2012-04,22/02/2013,25,19,2,12,11,,,5,7,2,11,,,0,0,0,0,,,8,14,0,44,25,0,69,8,4,14,24,9,14,22,,,TT,Државни факултет,22
1583,22,Универзитет у Београду,Математички факултет,Државни факултет,1986,Математика,Дипломирани математичар,Природно-математичке науке,Основне академске,135000,3500,240,612-00-00092/2015-04,12.06.2015.,250,207,84,50,120,,,226,129,127,226,,,0,0,1,0,,,85,912,3,461,708,1,1170,8,4,915,433,213,178,346,,,PM,Државни факултет,346
1584,84,Универзитет уметности у Београду,Факултет драмских уметности,Државни факултет,2221,Драмске и аудиовизуелне уметности,Дипломирани драмски и аудиовизуелни уметник,Уметност,Основне академске,220000,3726,240,612-00-00750/2015-06,02/12/2016,59,35,43,,,,,17,2,,,,,0,0,,,,,0,193,0,78,19,0,97,8,4,193,52,45,,,,,UM,Државни факултет,
1585,68,Универзитет у Новом Саду,Природно-математички факултет,Државни факултет,1988,Основне академске студије хемије,Дипломирани хемичар,Природно-математичке науке,Основне академске,107690,2000,240,612-00-01154/2012-04,28/06/2013,70,53,36,42,65,,,8,11,18,76,,,0,0,0,0,,,46,50,3,196,113,0,309,8,4,53,61,47,60,141,,,PM,Државни факултет,141
1587,78,Универзитет у Приштини,"Факултет уметности, Звечан",Државни факултет,1992,Извођачке уметности,Дипломирани музички уметник,Уметност,Основне академске,100000,3000,240,612-00-00434/2015-06,22/04/2016,8,6,6,2,,,,1,2,1,,,,,,,,,,1,9,0,14,4,0,18,8,4,9,,,,,,,UM,Државни факултет,
1589,39,Универзитет у Крагујевцу,Правни факултет,Државни факултет,2004,Право - унутрашњи послови и безбедност,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,75000,0,240,612-00-00382/2016-06,10/06/2016,165,,,,,,,,,,,,,,,,,,,0,41,5,0,0,0,0,8,4,46,,,,,,,DH,Државни факултет,
1590,52,Универзитет у Нишу,Грађевинско-архитектонски факултет,Државни факултет,2019,грађевинарствоОАС2014,Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,70000,1500,240,612-00-00050/2014-04,04/04/2014,180,,,,,,,,,,,,,0,,,,,,0,59,10,0,0,0,0,8,4,69,,,,,,,TT,Државни факултет,
1591,52,Универзитет у Нишу,Грађевинско-архитектонски факултет,Државни факултет,2020,АрхитектураИАС2014,Мастер инжењер архитектуре,Техничко-технолошке науке,Интегр. академске,90000,1500,300,612-00-00050/2014-04,20/06/2014,180,,,,,,,,,,,,,0,,,,,,0,208,4,0,0,0,0,10,5,212,,,,,,,TT,Државни факултет,
1592,47,Универзитет у Нишу,Електронски факултет,Државни факултет,2031,Електротехника и рачунарство,Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,89000,2000,240,612-00-01158/2017-06,19/05/2017,540,484,261,222,426,,,308,162,86,329,,,,,,,,,172,657,6,1393,885,0,2278,8,4,663,,,,,,,TT,Државни факултет,
1594,52,Универзитет у Нишу,Грађевинско-архитектонски факултет,Државни факултет,2132,АрхитектураОАС2008,Дипломирани инжењер архитектуре (техничке науке),Техничко-технолошке науке,Основне академске,90000,1500,240,612-00-694/2008-04,01/09/2009,,,,,,,,,,,,,,,,,,,,74,,,0,0,0,0,8,4,,,,,,,,TT,Државни факултет,
1627,205,Универзитет Унион - Никола Тесла,Факултет за градитељски менаџмент без својства правног лица - Београд,Државни факултет,1998,ОАС Грађевинарство,Дипломирани инжењер грађевинарства,Техничко-технолошке науке,Основне академске,240000,2400,240,612-00-749/2/2008-04,09/01/2009,,,,,,,,6,11,22,21,,,,,,,,,60,,,0,60,0,60,8,4,,,,,,,,TT,Приватни факултет,
1633,205,Универзитет Унион - Никола Тесла,Факултет за градитељски менаџмент без својства правног лица - Београд,Државни факултет,2016,ОАС Архитектура и урбанизам,Дипломирани инжењер архитектуре (техничке науке),Техничко-технолошке науке,Основне академске,300000,3000,240,612-00-749/4/2008/04,09/01/2009,,,,,,,,10,27,34,22,,,,,,,,,50,,,0,93,0,93,8,4,,,,,,,,TT,Приватни факултет,
1634,199,Универзитет Едуконс,Факултет за пројектни и иновациони менаџмент - Београд,Државни факултет,2021,Пројектни менаџмент,Менаџер,Друштвено-хуманистичке науке,Основне академске,122000,1500,180,612-00-01043/2013-04,20/02/2015,,,,,,,,8,2,,,,,,,,,,,41,,,0,10,0,10,6,3,,,,,,,,DH,Приватни факултет,
1635,199,Универзитет Едуконс,Факултет за пројектни и иновациони менаџмент - Београд,Државни факултет,2022,Пословни и иновациони менаџмент,Менаџер,Друштвено-хуманистичке науке,Основне академске,122000,1500,180,612-00-01043/2013-04,20/02/2015,,,,,,,,,,,,,,,,,,,,2,,,0,0,0,0,6,3,,,,,,,,DH,Приватни факултет,
1638,213,Универзитет Унион - Никола Тесла,Факултет за међународну политику и безбедност - Београд,Државни факултет,2025,"OAС, Међународна политика и безбедност",Дипломирани политиколог за међународне послове,Друштвено-хуманистичке науке,Основне академске,185000,1500,240,612-00-00897/2015-06,23/10/2015,,0,0,0,0,,,12,5,7,19,,,0,0,0,0,,,0,,,0,43,0,43,8,4,,12,5,7,19,,,DH,Приватни факултет,19
1644,184,Универзитет Мегатренд,Факултет за менаџмент- Зајечар,Државни факултет,2041,Основне академске студије бизнис и менаџмент,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,65000,1500,240,612-00-00066/214-04,23/01/2015,,,,,,,,50,,,,,,,,,,,,0,,,0,50,0,50,8,4,,,,,,,,DH,Приватни факултет,
1645,197,Универзитет Едуконс,Факултет за спорт и туризам (ТИМС) - Нови Сад,Државни факултет,2039,Физичко васпитање и спорт на српском и енглеском језику,Дипломирани професор физичког васпитања и спорта (друштвено-хуманистичке науке),Друштвено-хуманистичке науке,Основне академске,172200,1400,240,612-00-00792/2014-4,26/09/2014,,,,,,,,,,,,,,,,,,,,1,,,0,0,0,0,8,4,,,,,,,,DH,Приватни факултет,
1646,184,Универзитет Мегатренд,Факултет за менаџмент- Зајечар,Државни факултет,2042,Основне академске студије економије,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,65000,1500,240,612-00-00066/214-04,23/01/2015,,,,,,,,50,,,,,,,,,,,,0,,,0,50,0,50,8,4,,,,,,,,DH,Приватни факултет,
1647,184,Универзитет Мегатренд,Факултет за менаџмент- Зајечар,Државни факултет,2043,Основне академске студије бизнис и менаџмент - студије на даљину,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,65000,1500,240,612-00-02326/2014-04,12/06/2015,,,,,,,,15,,,,,,,,,,,,0,,,0,15,0,15,8,4,,,,,,,,DH,Приватни факултет,
1648,184,Универзитет Мегатренд,Факултет за менаџмент- Зајечар,Државни факултет,2044,Основне академске студије економије - студије на даљину,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,65000,1500,240,612-00-02327/2014-04,12/06/2015,,,,,,,,15,,,,,,,,,,,,0,,,0,15,0,15,8,4,,,,,,,,DH,Приватни факултет,
1650,184,Универзитет Мегатренд,Факултет за менаџмент- Зајечар,Државни факултет,2050,Основне академске студије економије - ФМЗ - ВШЈ ФПС Пожаревац,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,125000,2000,240,612-00-02329/2014-04,24/06/2016,,,,,,,,60,,,,,,,,,,,,0,,,0,60,0,60,8,4,,,,,,,,DH,Приватни факултет,
1652,256,Универзитет Алфа БК,Ректорат,Државни факултет,2052,Трговина,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,2400,240,612-00-01023/2016-06,18/11/2016,60,,,,,,,42,11,44,25,,,,,,,,,58,3,42,0,122,0,122,8,4,45,,,,,,,DH,Приватни факултет,
1653,256,Универзитет Алфа БК,Ректорат,Државни факултет,2053,Рачуноводство и ревизија,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,2400,240,612-00-01022/2016-06,18/11/2016,60,,,,,,,20,11,16,37,,,,,,,,,24,6,14,0,84,0,84,8,4,20,,,,,,,DH,Приватни факултет,
1654,256,Универзитет Алфа БК,Ректорат,Државни факултет,2054,Финансије ДЛС,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,2400,240,612-00-447/2009-04,24/05/2013,120,,,,,,,19,36,56,30,,,,,,,,,36,3,27,0,141,0,141,8,4,30,,,,,,,DH,Приватни факултет,
1655,256,Универзитет Алфа БК,Ректорат,Државни факултет,2055,Агробизнис и аграрна економија,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,2400,240,612-00-00137/2015-04,20/02/2015,30,,,,,,,,,,10,,,,,,,,,0,0,7,0,10,0,10,8,4,7,,,,,,,DH,Приватни факултет,
1656,256,Универзитет Алфа БК,Ректорат,Државни факултет,2056,Економија,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,2400,240,10/2017-06,21/12/2016,30,,,,,,,0,0,0,3,,,,,,,,,4,0,0,0,3,0,3,8,4,0,,,,,,,DH,Приватни факултет,
1657,256,Универзитет Алфа БК,Ректорат,Државни факултет,2057,Англистика,Дипломирани филолог,Друштвено-хуманистичке науке,Основне академске,144000,2400,240,612-00-01021/2016-06,18/11/2016,50,,,,,,,17,23,21,49,,,0,0,2,1,,,21,8,28,0,110,3,113,8,4,36,,,,,,,DH,Приватни факултет,
1658,256,Универзитет Алфа БК,Ректорат,Државни факултет,2058,Информационo - комуникационо технологије,Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,144000,2400,240,612-00-00047/222/2016-06,04/11/2016,25,,,,,,,18,18,34,26,,,,,,,,,25,8,17,0,96,0,96,8,4,25,,,,,,,TT,Приватни факултет,
1659,256,Универзитет Алфа БК,Ректорат,Државни факултет,2059,Рачунарске науке,Дипломирани информатичар,Природно-математичке науке,Основне академске,144000,2400,240,612-00-00906/2013-04,31/01/2014,25,,,,,,,2,6,9,16,,,,,,,,,10,1,19,0,33,0,33,8,4,20,,,,,,,PM,Приватни факултет,
1660,221,Универзитет Алфа БК,Факултет за менаџмент у спорту - Београд,Државни факултет,2060,Менаџмент у спорту,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,142800,2400,240,612-00-00579/2014-04,12/12/2014,90,,,,,,,34,24,57,24,,,0,0,0,0,,,28,17,0,0,139,0,139,8,4,17,,,,,,,DH,Приватни факултет,
1673,254,Универзитет Сингидунум,Факултет за физичку културу и менаџмент у спорту,Државни факултет,2079,Физичко васпитање и спорт,Дипломирани професор физичког васпитања и спорта (друштвено-хуманистичке науке),Друштвено-хуманистичке науке,Основне академске,166470,1350,240,612-00-00306/2015-04,12/06/2016,,0,0,0,0,,,32,14,9,28,,,0,0,0,0,,,0,,,0,83,0,83,8,4,,32,14,9,28,,,DH,Приватни факултет,28
1675,254,Универзитет Сингидунум,Факултет за физичку културу и менаџмент у спорту,Државни факултет,2081,Mенаџмент у спорту,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,135000,1100,240,612-00-00306/2015-04,12/06/2015,,0,0,0,0,,,17,6,0,2,,,0,0,0,0,,,0,,,0,25,0,25,8,4,,17,6,0,2,,,DH,Приватни факултет,2
1677,253,Универзитет Сингидунум,Факултет за примењену екологију (ФУТУРА),Државни факултет,2084,Заштита животне средине,Дипломирани аналитичар заштите животне средине,Природно-математичке науке,Основне академске,200000,1600,240,612-00-00705/2013-04,09/07/2014,40,0,0,0,0,,,35,37,40,39,,,0,0,0,1,,,67,17,20,0,151,1,152,8,4,37,35,37,40,40,,,PM,Приватни факултет,40
1682,250,Универзитет Сингидунум,Пословни факултет у Ваљеву (ПФВ),Државни факултет,2089,Пословна економија,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,120000,3000,240,612-00-02703/2017-06,09/02/2018,60,,,,,,,21,18,16,24,,,,,,,,,18,20,5,0,79,0,79,8,4,25,,,,,,,DH,Приватни факултет,
1683,250,Универзитет Сингидунум,Пословни факултет у Ваљеву (ПФВ),Државни факултет,2090,Пословни софтверски системи,Дипломирани пословни информатичар,Друштвено-хуманистичке науке,Основне академске,120000,3000,240,612-00-01118/2017-06,29/09/2017,30,,,,,,,8,5,3,3,,,,,,,,,3,7,3,0,19,0,19,8,4,10,,,,,,,DH,Приватни факултет,
1684,250,Универзитет Сингидунум,Пословни факултет у Ваљеву (ПФВ),Државни факултет,2091,Пословно право,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,120000,3000,240,612-00-00939/2013-04,25/10/2013,30,,,,,,,15,14,10,12,,,,,,,,,8,15,5,0,51,0,51,8,4,20,,,,,,,DH,Приватни факултет,
1685,250,Универзитет Сингидунум,Пословни факултет у Ваљеву (ПФВ),Државни факултет,2092,Туризам и хотелијерство,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,120000,3000,240,612-00-00308/2012-04,21/06/2013,50,,,,,,,18,14,10,22,,,,,,,,,18,18,10,0,64,0,64,8,4,28,,,,,,,DH,Приватни факултет,
1688,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2095,Туризам и хотелијерство - ВШЈ Нови Сад,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,0,240,612-00-01869/2013-04,11/10/2013,50,0,0,0,,,,40,36,36,,,,0,0,0,,,,16,70,10,0,112,0,112,8,4,80,40,36,36,,,,DH,Приватни факултет,
1689,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2096,Туризам и хотелијерство - ВШЈ Ниш,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,0,240,612-00-00437/2014-04,29/08/2014,50,0,,,,,,48,,,,,,0,,,,,,29,59,7,0,48,0,48,8,4,66,48,,,,,,DH,Приватни факултет,
1690,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2097,Електротехника и рачунарство,Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,180000,0,240,612-00-00647/2013-04,25/10/2013,0,0,0,0,,,,36,24,24,,,,1,0,0,,,,14,0,0,0,84,1,85,8,4,0,37,24,24,,,,TT,Приватни факултет,
1691,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2098,Пословна економија - ВШЈ Нови Сад,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,0,240,612-00-01664/2013-04,11/10/2013,200,0,0,0,,,,34,49,47,,,,0,0,0,,,,0,59,2,0,130,0,130,8,4,61,34,49,47,,,,DH,Приватни факултет,
1692,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2099,Електротехника и рачунарство - ВШЈ Ниш,Дипломирани инжењер електротехнике и рачунарства,Техничко-технолошке науке,Основне академске,140000,0,240,612-00-00437/2014-04,31/10/2014,40,0,,,,,,23,,,,,,0,,,,,,0,0,0,0,23,0,23,8,4,0,23,,,,,,TT,Приватни факултет,
1693,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2100,Пословна економија - ВШЈ Ниш,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,144000,0,240,612-00-00437/2014-04,29/08/2014,30,0,,,,,,30,,,,,,0,,,,,,0,50,9,0,30,0,30,8,4,59,30,,,,,,DH,Приватни факултет,
